Parcel ID (TMK),Petition Number,Site Address
550060010000,A10090343,55-110  KAM HWY
550060010000,A10090362,55-110  KAM HWY
550060010000,A10090372,55-110  KAM HWY
550060010000,A10090373,55-110  KAM HWY
550060010000,A10090377,55-110  KAM HWY
550060010000,A10090387,55-110  KAM HWY
550060010000,A10090389,55-110  KAM HWY
550060010000,A10090390,55-110  KAM HWY
550060010000,A10090391,55-110  KAM HWY
550060010000,A10090392,55-110  KAM HWY
550060010000,A10090394,55-110  KAM HWY
550060010000,A10110172,55-110  KAM HWY
550060010000,AV10090006,55-110  KAM HWY
550060100000,AV0600003,KAM HWY
550060110000,A10090382,KAM HWY
550060110000,A10090383,KAM HWY
550060110000,AV10090007,KAM HWY
550070010000,A10130131,KAM HWY
550070010000,AV10090012,KAM HWY
550080010000,AV0600024,55-269  POOHAILI ST
550080030000,AV0600006,WAHINEPEE ST
550080040000,AV0600007,WAHINEPEE ST
550080050000,AV0600009,WAHINEPEE ST
550080080000,AV0600008,WAHINEPEE ST
550080130000,AV0600010,55-758  *WAHINEPEE ST
550080250000,AV0600011,WAHINEPEE ST
550080280000,AV0600012,WAHINEPEE ST
550080510000,AV0600013,KAM HWY
550080540000,AV0600014,KAM HWY
550080550000,AV0600015,KAM HWY
550080560000,AV0600016,KAM HWY
550080570000,AV0600017,KAM HWY
550080580000,AV0600018,KAM HWY
550080610000,AV0600019,KAM HWY
550080630000,AV0600020,KAM HWY
550080640000,AV0600021,POOHAILI ST
560020090000,A05090173,56-1069  KAM HWY
560030100000,A10080052A,56-1089  KAM HWY
560030250000,A20040251,56-1101  KAM HWY
560030260000,A10090205,56-1081  KAM HWY
560030260000,A10090248,56-1081  KAM HWY
560030260000,A10090249,56-1081  KAM HWY
560030260000,A10090291,56-1081  KAM HWY
560030320000,A10080052B,56-1095  KAM HWY
560030470000,A10080084,56-1101  KAM HWY
560050020000,A01130044,KAM HWY
560050050000,A10080053A,970 KAM HWY
560050060000,A10110227,KAM HWY
560050070000,A10110061,56-1050  KAM HWY
560050130000,A10080045,KAM HWY
560050130000,A10080046,KAM HWY
560050130000,A10080048,KAM HWY
560050130000,A10080049,KAM HWY
560050130000,A10080054,KAM HWY
560050140000,A10080053D,KAM HWY
560050150000,A10080055,KAM HWY
560050160000,A10080051,KAM HWY
560050160000,A10080053E,KAM HWY
560050180000,A20020596,KAMEHAMEHA HWY
560060020000,AV0600022,KAM HWY
560060040000,A01130157,56-156  KAM HWY
560060060000,A10090363,56-350  KAM HWY
560060060000,A10090364,56-350  KAM HWY
560060060000,A10090367,56-350  KAM HWY
560060180000,A01130136,KAM HWY
560060180000,A01130137,KAM HWY
560060180000,A01130138,KAM HWY
560060180000,A01130156,KAM HWY
560060180000,A01130160,KAM HWY
560060280000,A10100109,KAM HWY
560060280000,AV10090010,KAM HWY
560060290000,A10070054,PLANTATION RD
560060300000,A10070118,PLANTATION RD
560060310000,A10080085,PLANTATION RD
560060320000,A20020595,PLANTATION RD
560060320000,A20020595,PLANTATION RD
560060330000,A20040904,PLANTATION RD
560060340000,A10041004,PLANTATION RD
560060350000,A20030609,PLANTATION RD
560060360000,A10050363,PLANTATION RD
560060370000,A20030605,PLANTATION RD
560060380000,A20040105,PLANTATION RD
560060390000,A20040172,PLANTATION RD
560060400000,A20030607,PLANTATION RD
560060410000,A20030608,PLANTATION RD
560060420000,A10050031,PLANTATION RD
560060430000,A20030612,PLANTATION RD
560060440000,A20030598,PLANTATION RD
560060450000,A20020599,PLANTATION RD
560060460000,A20020600,PLANTATION RD
560060470000,A10060047,PLANTATION RD
560060490000,A20030613,PLANTATION RD
560060500000,A10060059,PLANTATION RD
560060510000,A10070003,PLANTATION RD
560060520000,A20030606,PLANTATION RD
560060560000,A20020601,KAMEHAMEHA HWY
560060580000,A10090317,56-340  KAM HWY
560060580000,A10090318,56-340  KAM HWY
560060580000,A10090365,56-340  KAM HWY
560060580000,A10090375,56-340  KAM HWY
560060580000,A10090379,56-340  KAM HWY
560060580000,A10090386,56-340  KAM HWY
560060580000,AV0700065,56-340  KAM HWY
560070010000,A10090356,KAM HWY
560070010000,A10100108,KAM HWY
560070010000,AV10090005,KAM HWY
570010210000,A01130030,57-146  KAM HWY
570010210000,A01130031,57-146  KAM HWY
570010210000,A01130032,57-146  KAM HWY
570010210000,A01130033,57-146  KAM HWY
570010210000,A01130034,57-146  KAM HWY
570010210000,A01130035,57-146  KAM HWY
570010210000,A01130036,57-146  KAM HWY
570010210000,A01130037,57-146  KAM HWY
570010210000,A01130038,57-146  KAM HWY
570010210000,A01130039,57-146  KAM HWY
570010210000,A01130040,57-146  KAM HWY
570010210000,A01130041,57-146  KAM HWY
570010210000,A01130042,57-146  KAM HWY
570010210000,A01130090,57-146  KAM HWY
570010210000,A01130091,57-146  KAM HWY
570010210000,AV10130002,57-146  KAM HWY
570010390000,A01130089,KAMEHAMEHA HWY
570010400000,A01130045,KAMEHAMEHA HWY
570010410001,A01130024A,KAMEHAMEHA HWY
570010410002,A01130024B,KAMEHAMEHA HWY
570010410003,A01130024C,KAMEHAMEHA HWY
570010410004,A01130024D,KAMEHAMEHA HWY
570010410005,A01130024E,KAMEHAMEHA HWY
570010420000,A01130048,KAMEHAMEHA HWY
570010420001,A01130048A,KAMEHAMEHA HWY
570010420002,A01130048B,KAMEHAMEHA HWY
570010420003,A01130048C,KAMEHAMEHA HWY
570010420004,A01130048D,KAMEHAMEHA HWY
580020040001,A01130025A,58-248  KAM HWY
580020040002,A01130025B,58-248  KAM HWY
580020040003,A01130025C,58-248  KAM HWY
580020040004,A01130025D,58-248  KAM HWY
580040380000,A10040989,58-121  KAUNALA ST
590050400000,A10070030,59-680  PUPUKEA RD
590050660000,A10040779,59-426  KAM HWY
590050830000,A10040040,59-410  KAM HWY
590060050000,A05100236,58-350  KAM HWY
590060110000,A10110075,KAM HWY
590060170000,A10040079,59-268 A KAMEHAMEHA HWY
590060320000,A10040523,59-178  KAM HWY
590060340001,A10130008,59-178  KAM HWY
590060340002,A10070279A,KAM HWY
590070060000,A10070358,59-84  KAHAE RD
590120040000,A10090310,59-268  KAM HWY
590130150000,A10080022,59-208  KAM HWY
590130210000,A05120038,59-202  KAM HWY
590130220000,A05120036,59-202  KAM HWY
590130230000,A05120037,59-202  KAM HWY
590170520000,A298000587,59-450  ALAPIO RD
590170580000,A296000548,59-416  ALAPIO RD
590170620000,A10120021,59-388  ALAPIO RD
590170740000,A10080016,59-444  ALAPIO RD
590180210000,A10070361,59-211  ALAPIO RD
590180220000,A10070210,59-219  ALAPIO RD
590220070000,A10070207,59-747  MAULUKUA RD
590220280000,A10070022,59-720  KAWOA WAY
590220350000,A10070026,59-589  PUPUKEA RD
590250060000,A10070029,59-744  ALAPIO PL
590250090000,A10070031,59-740  ALAPIO PL
590250540000,A10090049,59-468  HOALIKE RD
590250550000,A10100027,59-675  ALAPIO RD
590250560000,A10100008,59-669  ALAPIO RD
590250580000,A10070046,59-657  ALAPIO RD
590250640000,A10070035,59-415  KAWOWO RD
590250730000,A10100112,59-402  KAWOWO RD
590260030000,A10040927,59-480  PUPUKEA RD
590260060000,A10070374,59-456  PUPUKEA RD
590260130000,A10070357,59-526  AUKAUKA RD
590280170000,A10130003,59-530  PUPUKEA RD
590290350000,A10130112,59-90  KAHAE RD
590300140000,A10130095,59-555  MAKANA RD
590300250000,A10040076,59-520  MAKANA RD
590300310000,A05090316,59-453  WILINAU RD
590310130000,A10040462,59-791  KANALANI PL
590310230000,A10080017,59-736  KANALANI PL
590310280000,A01130133,59-705  PUPUKEA RD
610020010000,AV0700005,KAM HWY
610020240000,AV0700006,KAM HWY
610040230000,AV0500017,WAIALUA
610040580000,AV0500018,WAIALUA
610050010000,A10040243,KAWAILOA DR
610050010000,A10040244,KAWAILOA DR
610050010000,A10040940,KAWAILOA DR
610050010000,AV0700053,KAWAILOA DR
610050070000,AV0500020,61-604  KAM HWY
610050090000,A10100028,61-486  KAM HWY
610050100000,AV0500021,KAM HWY
610050150000,AV0800008,61-676  KAM HWY
610050160000,AV0800011,61-166  KAM HWY
610050170000,AV10110004,KAM HWY
610050190000,AV0500022,KAM HWY
610050200001,A01130050,KAM HWY
610050200003,A01130051,KAM HWY
610050210000,A10100234,KAM HWY
610050220000,A10080277,KAM HWY
610050230000,A10080092,KAM HWY
610050230000,AV0800009,KAM HWY
610060010000,A10120170,KAM HWY
610060010000,AV0500023,KAM HWY
610070010000,A10120171,KAM HWY
610070010000,AV0500024,KAM HWY
610080240000,A10050287A,61-470  KAM HWY
610080300000,A10050287B,KAM HWY
620010010000,AV0500025,WAIALUA
620010100000,AV0500026,WAIALUA
620020010000,A10080090,62-207  KAWAILOA DR
620020020000,A05110198,KAM HWY
620020030000,AV10120005,KAM HWY
620020060000,A20040062,62-203 M LOKOEA PL
620020070000,A01130018,KAM HWY
620020100000,A10120001,62-394  JOSEPH P LEONG HWY
620020200000,AV0500027,KAM HWY
620020220000,AV0500028,KAM HWY
620020310000,A10080089,KAM HWY
620020320000,A05130010,KAM HWY
620020330000,A05130011,KAM HWY
620020340000,A05130012,KAM HWY
620020350000,A05130013,KAM HWY
620020360000,A05130014,KAM HWY
620030020000,AV10090002,62-148  LOKOEA PL
620040010000,A10110079,EMERSON RD
620040040000,A10080081,EMERSON RD
620040280000,A10130161,EMERSON RD
620040350000,A10060012,EMERSON RD
620050010000,AV0500030,KAM HWY
620050020000,AV0700008,KAM HWY
620050350000,AV0700009,KAM HWY
620060060000,AV0700010,66-420  KAM HWY
620060070000,AV0500031,KAM HWY
620070010000,AV0500032,KAM HWY
620070030000,A10040245,66-638  KAM HWY
620070030000,AV0700054,66-638  KAM HWY
620070040000,A05090273,KAM HWY
620070060000,A10050344,KAM HWY
620070070000,A05090220,KAM HWY
620070080000,A05090221,KAM HWY
620070110000,A05090222,KAM HWY
620070320000,AV0500034,KAM HWY
620080070000,AV0500035,KAM HWY
620080120000,AV0500036,KAM HWY
620080150000,AV0500037,KAM HWY
620080250000,AV0500038,KAM HWY
620090010000,A05130255,KAM HWY
620090010000,A10040246,KAM HWY
620090010000,A10040941,KAM HWY
620090010000,A10040942,KAM HWY
620090010000,A10120172,KAM HWY
620090010000,AV0700052,KAM HWY
620100010000,A10040247,EMERSON RD
620100010000,A10040943,EMERSON RD
620100010000,A10040944,EMERSON RD
620100010000,A10090295,EMERSON RD
620100070000,A10110080,KAM HWY
620110010000,A10040248,PLANTATION RD
620110010000,A10120173,PLANTATION RD
620110010000,AV0700050,PLANTATION RD
620110210000,AV10110005,66-126  KAM HWY
640010010000,A05090227,KAM HWY
640010010000,A05090272,KAM HWY
640010010000,A05100220,KAM HWY
640010010000,A05120102,KAM HWY
640010010000,A05130200,KAM HWY
640010010000,A05130201,KAM HWY
640010010000,AV0800006,KAM HWY
640010050000,AV0700012,KAM HWY
640020010000,A01130176,PLANTATION RD
640020010000,A05090242,PLANTATION RD
640020010000,A10040360,PLANTATION RD
640030010000,A10040409,64-1551  KAM HWY
640030030000,A05090226,64-1550  KAM HWY
640030030000,A10040427,64-1550  KAM HWY
640040010000,A01130177,KAM HWY
640040010000,A01130178,KAM HWY
640040010000,A01130179,KAM HWY
640040010000,A10040437,KAM HWY
640040070000,A05090141,KAM HWY
640040080000,A10040435,KAM HWY
650010100010,A05130227,KAUKOKONAHUA RD
650010100011,A05130228,KAUKOKONAHUA RD
650010100012,A05130229,KAUKOKONAHUA RD
650010100013,A05130230,KAUKOKONAHUA RD
650010100014,A05130231,KAUKOKONAHUA RD
650010100015,A05130232,KAUKOKONAHUA RD
650010100016,A05130233,KAUKOKONAHUA RD
650010100017,A05130234,KAUKOKONAHUA RD
650010100020,A10130094,65-670  KAUKOKONAHUA RD
650010140000,A01130180,KAUKONAHUA RD
650010140000,A01130181,KAUKONAHUA RD
650010140000,A05130202,KAUKONAHUA RD
650010190000,A05090352,KAUKONAHUA RD
650010210000,AV0800001,KAUKONAHUA RD
650010220000,A10040252,65-665  KAUKONAHUA
650010330003,A01130269,KAUKONAHUA RD
650010330008,A10130123,KAUKONAHUA RD
650010400000,A10090277,KAUKONAHUA RD
650010420001,A01130052,KAUKONAHUA RD
650010420002,A01130053,KAUKONAHUA RD
650010420003,A01130054,KAUKONAHUA RD
650010420004,A01130055,KAUKONAHUA RD
650010430000,A05090340,KAUKONAHUA RD
650010440000,A05090396A,KAUKONAHUA RD
650010440000,A05130203,KAUKONAHUA RD
650010440000,A05130204,KAUKONAHUA RD
650010450000,A05090396B,KAUKONAHUA RD
650010460000,A05090396C,KAUKONAHUA RD
650020010000,A10100204,HUKILAU PL
650020010000,AV0700016,HUKILAU PL
650020050000,A05090353,HUKILAU LP
650020050000,A10040429,HUKILAU LP
650020060000,A10040432,KAUKONAHUA RD
650020070000,A10090326,HUKILAU LP
650020080000,A10040433,HUKILAU LP
650020100000,AV0700030,HUKILAU LP
650020110000,A10040430,HUKILAU LP
650020110000,AV0700017,HUKILAU LP
650020180000,A10040431,KAUKONAHUA RD
650020190000,A10040438,HUKILAU LP
650020220000,A10110003,WAIALUA
650020240000,A10080108,65-777  KAUKONAHUA RD
650020250000,AV0700037,65-1155  KAUKONAHUA RD
650020260000,A05110022,WILIKINA DR
650040010000,A10040464,65-1140  POAMOHO ST
650040020000,A10110044,65-1110  POAMOHO ST
650040030000,A10090424,65-1078  POAMOHO ST
650040040000,A10040454,65-1040  POAMOHO ST
650040050000,A10080187,65-1025  POAMOHO ST
650040050000,AV0800005,65-1025  POAMOHO ST
650040060000,A10060312,65-1051  POAMOHO ST
650040070000,A10080041,65-340  POAMOHO PL
650040080000,A05130113,65-288  POAMOHO PL
650040090000,A10040008,65-248  POAMOHO PL
650040100000,A10040085,65-200  POAMOHO PL
650040110000,A10040314,65-245  POAMOHO PL
650040110000,A10100132,65-245  POAMOHO PL
650040120000,A10090425,65-277  POAMOHO PL
650040130000,A10040453,65-301  POAMOHO PL
650040140000,A10040597,65-323  POAMOHO PL
650050010000,A05090350,KAM HWY (PAALAA WAIA
650050010000,A05090351,KAM HWY (PAALAA WAIA
650050020000,A01130182,KAM HWY
650050020000,A01130183,KAM HWY
650050020000,A01130184,KAM HWY
650050020000,A05090395A,KAM HWY
650050020000,A05090396D,KAM HWY
650050020000,A05130205,KAM HWY
650050020000,A10040439A,KAM HWY
650050020000,A10080164,KAM HWY
650050030000,A01130185,KAM HWY
650050030000,A05090395B,KAM HWY
650050030000,A05090396E,KAM HWY
650050030000,A10040439B,KAM HWY
650050040000,A01130186,KAM HWY
650050040000,A05090396F,KAM HWY
650050040000,A05120103,KAM HWY
650050040000,A05130206,KAM HWY
650050040000,A10040439C,KAM HWY
660040020000,A05110013,66-40  AMARA RD
660040260000,A05110012,66-40 A AMARA RD
660080060000,A10040027,66-159  ACHIU LN
660080260000,A20040571,66-386 M HALEIWA RD
660080270000,A20040572,66-183  ACHIU LN
660090020000,A01130056,ACHIU LN
660090130000,A05110010,KAM HWY
660090150000,A05110009,66-815  KAM HWY
660100010000,A10040249,ACHIU LN
660100030000,A01130057,66-71  ACHIU LN
660100100000,A05130207,66-486  KILIOE PL
660120010000,A05130208,HALEIWA RD
660120030000,A10130249,66-480  HALEIWA RD
660120040000,A10040250,66-480  HALEIWA RD
660120040000,AV10120002,66-480  HALEIWA RD
660140040000,AV0700018,66-18  SMILEY PL
660140060000,AV10090001,HALEIWA RD
660150030000,A05130109,AUKAI LN
660150040000,A05130110,66-341 B AUKAI LN
660150060000,A05130111,AUKAI LN
660150070000,A10090145,66-305  AUKAI LN
660160130000,A10060005,66-310  AUKAI LN
660190430000,AV0700019,KAUKONAHUA RD
660190440000,AV0700020,WAIALUA BEACH
660200040002,A05130079,66-225  WAIALUA BEACH RD
660220010000,A05090334,AIEA HTS DR
660220010000,A05090335,AIEA HTS DR
660230030000,A05090206,KAMOOLOA RD
660230030000,A05090336,KAMOOLOA RD
660230030000,A05130209,KAMOOLOA RD
660240010000,A05090337,KAMOOLOA RD
660240010000,A05090397,KAMOOLOA RD
660240010000,A05130210,KAMOOLOA RD
660250010000,A05130211,FARRINGTON HWY
660250020000,A05130212,KAUPE RD
660250060000,A05130213,KAUPE RD
660270100000,A01130189,66-603  KAUPE RD
660270100000,A05130214,66-603  KAUPE RD
660270100000,AV0700022,66-603  KAUPE RD
660270110000,A05110001,66-603  KAUPE RD
660280010000,A10130001,66-1469  KAUKONAHUA RD
660280020000,A10080060,FARRINGTON HWY
660280030000,A10080059,FARRINGTON HWY
660280040000,A10120129,FARRINGTON HWY
660280050000,A10120125,66-1439  KAUKONAHUA RD
660280060000,A10100044,FARRINGTON HWY
660280090000,A05100031,FARRINGTON HWY
660280140000,A10070038,FARRINGTON HWY
660280150000,A10110078,FARRINGTON HWY
660280160000,A10110097,FARRINGTON HWY
660280170000,A10080139,FARRINGTON HWY
660280220000,A10060315,KAM HWY
660280230000,A10080144,FARRINGTON HWY
660280240000,A10080061,FARRINGTON HWY
660280270001,A05120096A,66-1420  KAUKONAHUA RD
660280270002,A05120096B,66-1420  KAUKONAHUA RD
660290110001,A10060049A,66-952  KUEWA DR
660290110002,A10060049B,66-952  KUEWA DR
670010050000,AV0700023,WAIALUA BEACH RD
670010050000,AV0700023,WAIALUA BEACH RD
670010080000,A05130215,WAIALUA BEACH RD
670010090000,AV0600001,WAIALUA BEACH RD
670010140000,A01130190,WAIALUA BEACH RD
670010180000,AV0600023,GOODALE AVE
670010260000,A01130191,67-421  FARRINGTON HWY
670010260000,A05090274,67-421  FARRINGTON HWY
670010260000,A05130216,67-421  FARRINGTON HWY
670010260000,AV0700024,67-421  FARRINGTON HWY
670010320000,A10060042,PUUIKI ST
670010340000,A05130217,PUUIKI ST
670010370000,A01130192,GOODALE AVE
670010630000,A01130193,GOODALE AVE
670010630000,A05090275,GOODALE AVE
670020060001,A10090201,67-290  FARRINGTON HWY
670020070000,A10090280,FARRINGTON HWY
670020140000,A01130194,KAHUI ST
670020340001,A01130058,67-290  FARRINGTON HWY
670020340002,A01130059,67-290  FARRINGTON HWY
670020370000,A01130195,67-150  FARRINGTON HWY
670020380000,A10090200,67-290  FARRINGTON HWY
670020380000,A10120128,67-290  FARRINGTON HWY
670020400000,A05090342A,67-150  FARRINGTON HWY
670020410000,A10130164,67-150  FARRINGTON HWY
670020420000,A10090338A,67-150  FARRINGTON HWY
670020420000,A10130169,67-150  FARRINGTON HWY
670020430000,A01130187,67-150  FARRINGTON HWY
670020430000,A05090209,67-150  FARRINGTON HWY
670020430000,A05090342,67-150  FARRINGTON HWY
670020440000,A10090338B,67-150  FARRINGTON HWY
670020460000,A01130188,67-150  FARRINGTON HWY
670030020000,A05090354,KAHUI ST
670030030000,A05090348,KAHUI ST
670030050000,A05090347,WAIALUA
670030060000,A05090339,KAHUI ST
670030070000,A05090398,KAHUI ST
670030080000,A05090399,KAHUI ST
670030090000,A05090400,KAHUI ST
670030100000,A05090401,KAHUI ST
670030110000,A05090402,KAHUI ST
670030170000,A05090403,KAHUI ST
670030190000,A05090407,FARRINGTON HWY
670040010000,A05090346,KEKAUWAY ST
670040040000,A05090345,WAIALUA
670090710000,A05090224,67-202  KUPAHU ST
680020050000,A05090234,FOREST
680020060000,A01130067,FOREST
680030050000,A01130068,68-434  FARRINGTON HWY
680030060000,A01130069,FARRINGTON HWY
680030090000,A05090233,FARRINGTON HWY
680030150000,A01130070,FARRINGTON HWY
680030170000,A01130071,68-539  FARRINGTON HWY
680030190000,A01130072,68-502  FARRINGTON HWY
680030210000,A05110062,FARRINGTON HWY
680030300000,A01130073,FARRINGTON HWY
680030310000,A01130074,FARRINGTON HWY
680030330000,A01130075,FARRINGTON HWY
680030340000,A05110063,FARRINGTON HWY
680030350000,A01130066,FARRINGTON HWY
680030370000,A10090040,68-411  FARRINGTON HWY
680030400000,A01130076,FARRINGTON HWY
680030430000,A10130165,FARRINGTON HWY
680030440000,A10130166,FARRINGTON HWY
680030440000,A10130167,FARRINGTON HWY
680030480000,A01130077,68-399  FARRINGTON HWY
680030490000,A10110081,68-399  FARRINGTON HWY
680030500000,A10070373,68-387  FARRINGTON HWY
680060100000,A05090140,KEKAUIWA ST
680060100000,A05110180,KEKAUIWA ST
680060100000,A05110237,KEKAUIWA ST
680060100000,A05110238,KEKAUIWA ST
680060100000,A05110239,KEKAUIWA ST
680060100000,A05110240,KEKAUIWA ST
680070020000,A05090276,FARRINGTON HWY
680070020000,A05090279,FARRINGTON HWY
680070020000,A05090281,FARRINGTON HWY
680070020000,A05090284,FARRINGTON HWY
680070020000,A05100182,FARRINGTON HWY
680070020000,A10040403C,FARRINGTON HWY
680070020000,A10130170,FARRINGTON HWY
680070020000,A10130171,FARRINGTON HWY
680070020000,A10130172,FARRINGTON HWY
680070020000,A10130173,FARRINGTON HWY
680070020000,A10130174,FARRINGTON HWY
680070020000,AV0700028,FARRINGTON HWY
680130010000,A10070266,68-359  FARRINGTON HWY
680130040000,A10060039,68-299  MAHINAAI ST
680130050000,A10040049,68-285  MAHINAAI ST
680130080000,A01130140,68-239  MAHINAAI ST
680130090000,A10050274,68-217  MAHINAAI ST
680130090000,AV0800010,68-217  MAHINAAI ST
680130100000,A10070360,68-216  MAHINAAI ST
680130110000,A10050296,68-240  MAHINAAI ST
680130120000,A20040154,68-415  KIKOU ST
680130130000,A10040144,68-682  CROZIER DR
680130160000,A10060154,68-355  KIKOU ST
680130230000,A01130047,68-208  OLOHIO ST
680130240000,A10040136,68-222  OLOHIO ST
680130250000,A10050395,68-238  OLOHIO ST
680130310000,A10040150,68-330  OLOHIO ST
680130320000,A10060022,68-346  OLOHIO ST
680130330000,A10080013,68-360  OLOHIO ST
680130360000,A20040628,68-406  OLOHIO ST
680130370000,A20040092,68-420  OLOHIO ST
680130380000,A10060035,68-419  OLOHIO ST
680130420000,A10120002,68-355  OLOHIO ST
680130440000,A10040581,68-311  OLOHIO ST
680130450000,A10040058,68-286  KIKOU ST
680130460000,A10060197,68-310  KIKOU ST
680130470000,A10070006,68-326  KIKOU ST
680130490000,A10070356,68-356  KIKOU ST
680130500000,A10070359,68-370  KIKOU ST
680130510000,A10040083,68-386  KIKOU ST
680130520000,A10060152,68-400  KIKOU ST
680130530000,A20040153,68-416  KIKOU ST
680130540000,A10040095,68-434  KIKOU ST
680130550000,A10040317,68-450  KIKOU ST
680130560000,A10040135,68-300  MAHINAAI ST
680130580000,A10070329,68-330  MAHINAAI ST
680130600000,A10130021,68-285  OLAO PL
680130610000,A10070119,68-265  OLAO PL
680130620000,A10040129,68-255  OLAO PL
680130640000,A10080008,68-262  OLAO PL
680130650000,A10080003,68-284  OLAO PL
680130660002,A10050371,68-700  CROZIER DR
680130660003,A10041032,68-770  CROZIER DR
680130660004,A10041033,68-770  CROZIER DR
680130660005,A20040155,68-770  CROZIER DR
680130660006,A10040145,68-770  CROZIER DR
710010020000,AV0700040,KAM HWY
710010030000,AV0700031,KAM HWY
710010050000,AV0700032,KAM HWY
710010070000,AV0700041,KAM HWY
710010120000,AV0700043,KAM HWY
710010230000,AV0700044,WILIKINA DR
710010240000,AV0700045,KAM HWY
710010270000,A10130016,WHITMORE AVE
710010280000,AV0700035,WILIKINA DR
710010290000,AV0700048,WILIKINA DR
710010360000,AV10100029,WILIKINA DR
710010370000,A05110023,WILIKINA DR
710010370000,AV0700039,WILIKINA DR
710010380000,A10130015,700 WHITMORE AVE
710010450000,AV0700047,KAM HWY
710010460000,AV0700042A,KAM HWY
710020040000,A01130196,WHITMORE AVE
710020040000,A01130197,WHITMORE AVE
710020040000,A05100215,WHITMORE AVE
710020060000,A01130198,912 HANAU ST
710020090000,A01130144,WHITMORE AVE
710020230000,A01130199,UWALO CIR
710020310000,A01130146,WHITMORE AVE
710020320000,A01130145,WHITMORE AVE
710020330000,A01130147,WHITMORE AVE
710020340000,A05110222,WHITMORE AVE
730070010000,A05090328,152 LAKEVIEW CIR
730180590000,A10120126,LAUONE LOOP
750110010000,A10070272,1895 EAMES ST
830010050000,A10040480A,FARRINGTON HWY
830010060000,A10040480B,83-202  FARRINGTON HWY
830020080000,A10110176,83-572  FARRINGTON HWY
840220060000,A10110041,84-1044  KAULAWAHA RD
850030130000,A10040629,85-596 I WAIANAE VALLEY RD
850030150000,A10070023,85-580 C WAIANAE VALLEY RD
850030180000,A10060014,85-580 E WAIANAE VALLEY RD
850030190000,A10130060,85-576 B1 WAIANAE VALLEY RD
850030290000,A10040633,WAIANAE VALLEY RD
850030310000,A10040632,WAIANAE VALLEY RD
850030320000,A10040631,WAIANAE VALLEY RD
850030420000,A05090313,85-576  WAIANAE VALLEY RD
850030430000,A10040634,85-580  WAIANAE VALLEY RD
850040040000,A10100026,85-1383 C WAIANAE VALLEY RD
850040100000,A10070037C,85-965  WAIANAE VALLEY RD
850040120000,A10040924,85-1279  WAIANAE VALLEY RD
850040180000,A10040169,85-1177  WAIANAE VALLEY RD
850040190000,A20040120,85-1490  WAIANAE VALLEY RD
850040200001,A10040225A,85-1330 H WAIANAE VALLEY RD
850040200002,A10040225B,85-1330 K WAIANAE VALLEY RD
850040200003,A10040225C,85-1330 H WAIANAE VALLEY RD
850040200004,A10040225D,85-1330 H WAIANAE VALLEY RD
850040210001,A10040282A,85-1330 E WAIANAE VALLEY RD
850040210002,A10040282B,85-1330 E-1 WAIANAE VALLEY RD
850040230000,A10040138,85-1284  WAIANAE VALLEY RD
850040240000,A10040134,85-1270  WAIANAE VALLEY RD
850040250000,A20040319,85-1186  WAIANAE VALLEY RD
850040350000,A10070037A,85-877  WAIANAE VALLEY RD
850040550000,A10040476,85-1344  WAIANAE VALLEY RD
850040560000,A20040001,85-1330 D WAIANAE VALLEY RD
850040650000,A10070037B,WAIANAE VALLEY RD
850040880000,A10040281,85-1330 F WAIANAE VALLEY RD
850040890000,A10100140,85-1373 A WAIANAE VALLEY RD
850040950000,A10040929,85-1570 B WAIANAE VALLEY RD
850040990000,A10040923,85-1330 C1 WAIANAE VALLEY RD
850041010000,A10040592,85-1570  WAIANAE VALLEY RD
850041020000,A10040915,85-1570 A WAIANAE VALLEY RD
850041060000,A10040045,WAIANAE VALLEY RD
850050090000,A10040140,85-1652  HALEAHI RD
850050330000,A05090059,85-1636  HALEAHI RD
850190010000,A10060017,85-443  WAIANAE VALLEY RD
850190040000,A10060018,85-443 B WAIANAE VALLEY RD
850190050000,A10060019,85-443 A WAIANAE VALLEY RD
850190140000,A10040007,85-485 C WAIANAE VALLEY RD
850190160000,A10090195,85-485 D WAIANAE VALLEY RD
850190170000,A20040122,85-695  WAIANAE VALLEY RD
850190190000,A10040041,85-775 A WAIANAE VALLEY RD
850190200000,A10050288,85-781  WAIANAE VALLEY RD
850190220000,A10040832,85-775 B WAIANAE VALLEY RD
850190280000,A05090244,WAIANAE VALLEY RD
850190350000,A10040630A,WAIANAE VALLEY RD
850190380000,A20040488,85-772  WAIANAE VALLEY RD
850190390000,A05130020,85-760  WAIANAE VALLEY RD
850190440000,A10040440,85-620  WAIANAE VALLEY RD
850190450000,A10040772,85-610  WAIANAE VALLEY RD
850190460000,A10040057,85-596  WAIANAE VALLEY RD
850190500000,A05090006,85-576 A WAIANAE VALLEY RD
850190530000,A10050366,85-538  WAIANAE VALLEY RD
850190540000,A05120023,85-508  WAIANAE VALLEY RD
850190550000,A10060148A,85-480  WAIANAE VALLEY RD
850190550000,A10090323,85-480  WAIANAE VALLEY RD
850190770000,A10040596,85-443  WAIANAE VALLEY RD
850190780000,A05090243,WAIANAE VALLEY RD
850190790000,A10060148B,WAIANAE VALLEY RD
850210010000,A10080010,85-685  WAIANAE VALLEY RD
850210020000,A10080009,85-621  WAIANAE VALLEY RD
850220070000,A10070004,85-859  PILIUKA PL
850290020000,A10040320,85-1085  WAIANAE VALLEY RD
850340020000,A295000537,85-585  PILIUKA PL
